feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
base_load_share,-0.7442199674363938,0.5986652027543387,-0.06878307390175466,0.05302904695734101,-0.018098508990368505,0.12784234260936425,-0.03667447161066204,0.023389149064165445,0.06147583049061729,0.046708490247889964
harmonic_1_amplitude,0.4636024983660055,-0.7629528824838375,-0.19153886348441937,-0.21558571495462858,0.22595238742113286,-0.05190461778185154,-0.06442936739716845,0.08107792039864975,0.02756063734807712,-0.06186058208688023
harmonic_2_amplitude,0.8837066167278251,0.18010058625686945,0.3584365944231492,0.09131895885452153,-0.046060790648205854,-0.030585328653777062,-0.0025927689366947388,0.00831265684515519,0.010032355946674065,-0.00871621389933401
harmonic_3_amplitude,0.6885006697419599,0.09144457228223868,0.2742363673344547,-0.17538340053126636,0.35273013742131887,0.16847575332119122,0.13832154289143514,-0.06988745371567576,0.0766661948315724,0.32742599760300534
haar_detail_l1,0.8657624542418255,0.006432143975033953,0.404435915317668,0.07672650271740307,0.11712441174763533,0.07850017332574942,0.035783422037577714,0.023618052728902914,0.002300771732622479,0.06065451461944385
haar_detail_l2,0.8447029241969425,0.009389102691110226,0.4078512010663346,0.15813516540289055,0.008701650850382046,-0.03544466912511372,-0.029248742404301916,0.025427404663176452,0.08129635866435134,0.09489341191117186
haar_detail_l3,0.4376701509338524,-0.47069499387101793,0.10725300403629134,0.13306119750503917,0.5353059637148765,0.35596100342705034,0.09447543392862869,0.08372947922480364,-0.16741681076916293,-0.1398244580172033
peak_to_avg_ratio,0.809359746127807,-0.22325109066329685,0.000817171400029754,-0.17426536136976004,-0.17936224261227504,0.3646324438416424,0.007593153498892019,-0.01784321609753967,-0.053708852109494956,-0.03845851132836582
coefficient_of_variation,0.8731546900839809,-0.3787268978658034,0.03348091729713996,-0.15638543970986588,-0.016159055248218576,0.09808153806874775,0.14969214125507993,0.03885438563584634,0.002840639394107686,-0.07149026852012196
skewness,0.4912236127908952,0.13013216016787868,-0.005132226827502167,-0.23004628998877916,-0.38228823502306053,0.6545485571724474,-0.108729972760032,-0.19972684352107786,-0.06937969145190434,-0.00152214519228826
kurtosis,0.2908124813658227,0.21110507385609995,0.005398273981795959,-0.21328804682409555,-0.38275725751114537,0.7363425656903634,-0.25411909888077594,-0.20483743000939642,-0.09773686390026748,0.02996464050303863
daily_total_cv,0.19319412530969168,-0.33516105169872046,-0.2336738831708194,-0.2584209449817225,-0.2989412459640146,0.12260233448558333,0.7032440617114788,0.004481441056027833,0.11246548528552484,-0.07007390667114562
p90_median_ratio,0.8736736551032416,-0.29927702334579076,0.08882258723099805,-0.15436962506432028,0.14855145798983216,0.08640502144170309,0.13311863134060806,0.10732052519619004,0.05789087101357982,-0.061264512198039946
weekend_cv_ratio,-0.16543847943724413,-0.04259939319785909,0.09456990495296048,0.06352271512961231,-0.36929106675593104,0.2700560446445718,-0.0447688492551829,0.8242173431552421,-0.04138674090246604,0.23246354150895393
