feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
profile_ramp,0.42062741990933694,-0.7906859466563119,-0.06717839103451778,0.28461578020976747,-0.009164200800865878,0.019523978855943317,-0.22127365343284233,0.013518105341108571,0.05972758783341051,0.013735873766097938,-0.07057396606716286,0.02470212525426797
weekend_ratio,0.4096695806091265,-0.042577237367146484,0.053022027445825515,-0.40294829079396527,-0.09735192394542914,0.09583315826918935,0.4470059201553497,0.4550433438684776,0.38481217167697745,0.1268807783970596,0.2440807206804955,0.059166577103941
weekend_shape_distance,0.573265842437329,-0.5479822001474309,-0.07461668073117038,0.13738759185538957,-0.14992214795680664,0.04843453621572947,-0.12883800927163833,0.008807536474657865,0.3124071087172088,0.04376804527294065,-0.24411760703166596,0.29298604274208134
peak_to_avg_ratio,0.21264736370662427,-0.6988259172088184,-0.0036574160061334446,0.2613137577264285,-0.010616084435693104,0.5731189491672206,-0.08418590332063523,0.02340036523654093,0.07267849048524576,0.0369363217100027,-0.012390680632304168,-0.06313148629212736
coefficient_of_variation,0.2361549760582739,-0.8989963225264378,0.011126860892849913,0.11590728342242218,-0.12457369725555649,0.1530015079760984,-0.16587423783576172,0.07402048244780836,0.14988907607380078,0.034400910991779304,-0.05098347544589379,0.005656838503413956
skewness,0.20844541837945232,-0.01868225073079293,0.07713575617640445,0.20750373697223803,0.14445647516272261,0.9183765375344792,0.04336670209851242,-0.010697022164306891,-0.05815397987645754,-0.03701226456305471,0.06872833870108906,0.029221529959188967
kurtosis,0.09863345729050352,0.13653860659327266,0.0538963449110465,0.19529297515154312,0.2042563823358434,0.9127806567132162,0.05971601291628428,-0.06155563125724076,-0.12596400998871543,-0.023144644589013184,0.08237024975550583,0.0216810869062031
energy_consumption_kwh_mean,0.06528985582821524,0.00629036146976897,0.9838872974122659,0.049913378376068164,0.11894024883433446,-0.11105592489799138,-0.0042290696847521615,0.021942752599294204,-0.0035101153289530855,-0.008586176117759465,-0.0023606306568971433,0.020728154157904945
energy_consumption_kwh_max,0.18519194320344776,-0.41597011315080484,0.7803163399643314,0.1975295003931204,0.06722953897670735,0.24258832207659534,-0.0726144015059596,0.029334787433628134,0.05625174876054588,0.05061370029614096,-0.02565384177255786,-0.13777422755989963
energy_consumption_kwh_min,-0.035000355645351235,0.6317672280813944,0.6353051945354716,0.02458168347892633,0.2316763807146962,0.032977475004508455,0.08919238045531276,-0.11205642398608719,-0.0871600729363932,-0.12162845896797013,0.00367285004806757,0.12974084832403676
energy_consumption_kwh_median,-0.009135089470740891,0.11606884226937526,0.9703844142991322,0.03415875255021708,0.13858617985739205,-0.11518440798568196,0.038371130235565105,0.026886791684323456,-0.0364010362565814,-0.023255914682475728,0.023287840470091945,0.04909718610291678
energy_consumption_kwh_std,0.19094871220011894,-0.5087284932863197,0.792959538374834,0.09172289052730384,-0.012824374712644972,-0.04099919992666972,-0.10769740071953178,0.05918571335618943,0.08671746908349327,0.053370112674654836,-0.04822566709978518,-0.08745064863868388
energy_consumption_kwh_sum,0.06528985582821524,0.006290361469769022,0.983887297412266,0.04991337837606822,0.11894024883433463,-0.11105592489799145,-0.004229069684752297,0.021942752599294225,-0.003510115328953114,-0.008586176117759432,-0.002360630656897101,0.02072815415790489
current_a_mean,0.06387446896204857,0.0030534913508903734,0.9813325092147197,0.05293013634637589,0.11257975931474416,-0.12028842315611409,-0.007491100192801831,0.012371431625810883,-0.0025927602794457794,-0.014722160162415192,0.0008239662717169385,0.02198892833504736
