seed,arm,rule_selected,n_features,n_pca_components,cumulative_variance,optimal_k,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,min_cluster_share,cluster_balance,cluster_sizes,scale_separation,shape_separation,archetype_ari,archetype_nmi,n_true_archetypes
10,behavioral,True,51,14,0.9522072750853422,3,0.30998497516684315,86.72443051628397,1.2411197810699424,1.0,0.0,0.27,0.5934065934065934,"[55, 91, 54]",0.0417924192260064,0.6131000237985109,0.6584438908728615,0.7484910734699838,4
10,combined,False,58,15,0.9536397342288352,3,0.27600205750597673,72.79556193492165,1.3665164129877436,1.0,0.0,0.27,0.5934065934065934,"[91, 55, 54]",0.0417924192260064,0.6131000237985109,0.6584438908728615,0.7484910734699838,4
11,scale,False,7,2,0.9739021981026714,2,0.5248710224157432,233.8990132118013,0.7766568042341939,0.9917439043012024,0.016512191397595414,0.285,0.3986013986013986,"[143, 57]",0.8052688439249783,0.09232480440755841,0.00295131395920618,0.011519149723466855,4
11,shape,False,24,8,0.9567785653039218,4,0.33190153982516635,83.90561743787359,1.1341414698522971,0.9905157531197805,0.007978293605796863,0.175,0.5645161290322581,"[43, 60, 35, 62]",0.12230703501410825,0.7239092917134041,0.6567082776630024,0.7031261904767961,4
11,summary,True,27,11,0.9603222248518997,4,0.329301662720294,102.87283345649082,1.1563351246994718,1.0,0.0,0.215,0.7543859649122807,"[57, 50, 43, 50]",0.14712754061880273,0.6843821281036129,0.9121671325584817,0.9250641579252835,4
11,behavioral,False,51,14,0.9556853092883947,3,0.3128254605869784,89.5505330774572,1.243423072003944,0.9859557823476207,0.01066600116338795,0.275,0.632183908045977,"[55, 58, 87]",0.09644943147175007,0.6148405913131058,0.5985152217615768,0.6609583095334243,4
11,combined,False,58,14,0.9501124314173494,3,0.2805881172275151,76.23864149210816,1.3636041730717627,0.9797495046826,0.02109149227135725,0.275,0.6395348837209303,"[59, 55, 86]",0.14643863408411853,0.611439178860765,0.6081001721003136,0.6759834320303431,4
12,scale,False,7,2,0.977391021506629,2,0.5686977291330803,200.50880997369256,0.7730491850072851,1.0,0.0,0.17,0.20481927710843373,"[166, 34]",0.7709876153463593,0.08862310871254203,0.003910630255789339,0.01652259220934549,4
12,shape,False,24,7,0.9508898916880117,3,0.32607809597521353,82.43989715148562,1.171042823895511,0.9860647097625509,0.012436229373855719,0.29,0.7160493827160493,"[58, 81, 61]",0.07490241902621485,0.6267818301772277,0.5963752393262169,0.6541080563480332,4
12,summary,False,27,10,0.9510945845495801,2,0.3284791352424628,95.32374891474417,1.0817617824815826,0.9957737901910139,0.008452419617971784,0.255,0.3422818791946309,"[149, 51]",0.04422814478011067,0.31605311940371067,0.327034801788139,0.5560250066406728,4
12,behavioral,True,51,13,0.9518843470856763,3,0.3214618214949285,85.34874368952347,1.2463032211905338,0.9915219493143357,0.007930490243364804,0.24,0.4752475247524752,"[48, 51, 101]",0.11368555484578638,0.6112587657391823,0.6511445128723334,0.7681369421215415,4
12,combined,False,58,14,0.9525754970287159,3,0.28781592051554045,72.10697907231551,1.36346773058673,0.9943640690524442,0.007587604248554423,0.235,0.46078431372549017,"[102, 51, 47]",0.12604270049974617,0.6126745408546209,0.6361688956428376,0.755493455606212,4
13,scale,False,7,2,0.9768345614594799,3,0.4557954790680691,189.80303591699902,0.7914782358898425,0.9693598064583674,0.029460589357604955,0.05,0.09174311926605505,"[109, 10, 81]",0.8867672120283003,0.08555567595474663,0.02068402221344493,0.03189326170366261,4
13,shape,True,24,8,0.9550647673861484,4,0.32800903112327107,81.60524823203973,1.227952108411572,0.9975869351877444,0.004826129624511432,0.135,0.39705882352941174,"[68, 54, 51, 27]",0.08926792692210474,0.7111532613706588,0.588444021705027,0.6418258773162917,4
13,summary,False,27,11,0.95925603131043,2,0.30608901073692235,93.06182008871632,1.1532600130881971,1.0,0.0,0.285,0.3986013986013986,"[143, 57]",0.0834379701260463,0.3223754444999881,0.3118881979360231,0.48527730976502625,4
13,behavioral,False,51,14,0.9544470083318172,3,0.30796015088802187,84.93640811122243,1.2721715064180856,0.960106970722443,0.029695166985775175,0.23,0.4742268041237113,"[57, 97, 46]",0.07656025125409734,0.6185730268334481,0.5439863665611392,0.6271925556401795,4
13,combined,False,58,15,0.9544596453031378,3,0.27668410417658085,71.35756173055121,1.3954520701439284,0.994431882895529,0.011136234208942363,0.275,0.6179775280898876,"[55, 89, 56]",0.14173314318767613,0.6230836398024584,0.5829187401298578,0.6484470467529098,4
14,scale,False,7,2,0.9710088890119462,2,0.5038887296218327,196.70991199917398,0.8683782047447278,1.0,0.0,0.295,0.41843971631205673,"[141, 59]",0.7877175799616313,0.04591827480095839,-0.0015964333887702287,0.005481535826464317,4
14,shape,False,24,8,0.9512904123665163,3,0.313386300328632,90.2417886618395,1.1690696699706777,0.9680860115935914,0.026711379248303604,0.32,0.9142857142857143,"[70, 64, 66]",0.057218464783914624,0.6410781895377928,0.562006641956571,0.6120231255645053,4
14,summary,True,27,10,0.9518539030609964,4,0.3240315232451043,103.67206451039024,1.136726018989969,0.9874608086407803,0.009465560052687,0.22,0.8148148148148148,"[52, 54, 50, 44]",0.058566986600632774,0.6953540881780699,0.8854231451330365,0.8732825244603024,4
